FASTA tag	Generic ID	Species	More name	Specimen ID	Well	18s	16s	CO1	Voucher location (Full Name)	Voucher location (Short Name)	voucher accession number	Physical voucher	Photo voucher	Other Photographs	Video	Col. Date	Latitude	Longitude	Depth (m)	Notes	In phylogeny	seq #
CWD1	CWD1	Agalma clausi		OC381-18-6	1A	AY937312	AY935270		Yale Peabody Museum	YPM	No. 35024	yes				9/22/2002	37.43°N	72.68°W	BW		y	1
CWD2	CWD2	Agalma elegans	Atlantic	OC381-7-27	1B	AY937313	AY935271	AY937363	Yale Peabody Museum	YPM	No. 35029	yes				9/18/2002	37.63°N	73.45°W	BW		y	2
CWD3	CWD3	Agalma okeni		OC381-5-5	1C	AY937314	AY935272		Yale Peabody Museum	YPM	No. 35030	yes				9/17/2002	38.17°N	72.98°W	BW		y	3
CWD4	CWD4	Apolemia sp 1		OC368-7-20	1D	AY937315	AY935273	AY937365	Yale Peabody Museum	YPM	No. 35035	yes				7/6/2001	38.48°N	73.00°W	BW	Apolemia J	y	4
CWD5	CWD5	Athorybia rosacea	Atlantic	OC381-22-25	1E	AY937316	AY935274	AY937364	Yale Peabody Museum	YPM	No. 35031	yes				9/24/2002	38.91°N	70.27°W	BW		y	5
CWD6	CWD6	Cordagalma cordiforme		OC379-16-20	1F	AY937317	AY935275	AY937366	Yale Peabody Museum	YPM	No. 35032	yes				6/11/2002	37.68°N	73.13°W	BW		y	6
CWD7	CWD7	Diphyes dispar		OC381-9-4	1G	AY937318	AY935276	AY937367	Yale Peabody Museum	YPM	No. 35033	yes				9/19/2002	36.98°N	73.85°W	BW		y	7
CWD8	CWD8	Forskalia asymmetrica		JSLII3268D5	1H	AY937319	AY935277	AY937368	Yale Peabody Museum	YPM	"No. 35034A, 35034B"	yes				7/1/2002	40.31°N	68.13°W	610		y	8
CWD9	CWD9	Forskalia edwardsi	Atlantic	OC379-5-18	2A	AY937320	AY935278	AY937369	Yale Peabody Museum	YPM	No. 35036	yes				6/3/2002	37.84°N	73.83°W	BW		y	9
CWD10	CWD10	Forskalia tholoides		OC381-13-14	2B	AY937321	AY935279	AY937370	Yale Peabody Museum	YPM	No. 35037	yes				9/21/2002	36.97°N	74.00°W	BW		y	10
CWD11	CWD11	Stephanomia amphytridis 		JSL3272D1	2C	AY937322	AY935280	AY937371	Yale Peabody Museum	YPM	No. 35076	yes	yes	yes		7/3/2002	40.31°N	68.13°W	800		y	11
CWD12	CWD12	Halistemma rubrum 	Med	VF041603	2D	AY937323	AY935281	AY937372	Yale Peabody Museum	YPM	No. 35038	yes				4/16/2003	43.68°N	7.33°E	BW		y	12
CWD16	CWD16	Nanomia bijuga	Atlantic	OC379-11-7	2H	AY937324	AY935282	AY937373	Yale Peabody Museum	YPM	No. 35039	yes				6/8/2002	37.45°N	74.02°W	BW		y	16
CWD17	CWD17	Halistemma rubrum 	Atlantic	OC381-3-20	3A	AY937325	AY935283		Yale Peabody Museum	YPM	No. 35040	yes				9/16/2002	38.85°N	72.45°W	BW		y	17
PHYSALIA	CWD18	Physalia physalis		OC370	3B		AY935284	AY937374	Yale Peabody Museum	YPM	No. 35345	no	yes	yes		9/24/2001	39.15°N	72.4°W	BW		y	18
